source_id,source_name,source_type,exact_url,publisher,accessed_date,geographic_scope,fields_used,collection_method,license_or_usage,reliability_tier,freshness,known_limitations,transformation_notes
scad_yearbook,Statistical Yearbook of Abu Dhabi,government,https://scad.gov.ae/documents/20122/1043412/Statistical%2520Yearbook%2520of%2520Abu%2520Dhabi_2020_Annual_Yearly_en.pdf/68b923b8-e4f2-3fe5-f922-11f60f9ddff4?t=1677214811571,Statistics Centre Abu Dhabi,2026-09-08,Abu Dhabi,population density research,manual research,government publication terms to verify,2,historical table,not current or H3/community-ready,exclude from v1 scoring pending compatible release
local_emirates_roster,Local Emirates Bedashing branch directory,secondary_directory,https://localemirates.com/r/en/503732-bedashing-beauty-lounge,Local Emirates,2026-09-08,UAE,15 branch names/emirates/addresses,manual research,site terms apply,4,page crawled three weeks before access; not official,all records remain candidate until official corroboration
city_walk_outlet,City Walk Bedashing outlet page,official_venue,https://www.citywalk.ae/en/outlets/bedashing-beauty-lounge,City Walk / Merex Investment Group,2026-09-08,Dubai,City Walk name/location/timings,manual research,site terms apply,2,current page,venue page says 23 lounges and conflicts with Bedashing 24 claim,record City Walk as currently listed only
mabel_al_nahyan,Mabel Al Nahyan listing,secondary_directory,https://www.mabel.ae/salon/bedashing-beauty-lounge-in-abu-dhabi-in-al-nahyan,Mabel,2026-09-08,Abu Dhabi,Al Nahyan address/hours,manual research,site terms apply,4,listing age unknown; business directory,corroborates address but not official current status
waze_khalifa_city,Waze Khalifa City listing,secondary_map,https://www.waze.com/live-map/directions/ae/abu-dhabi/abu-dhabi/bedashing-beauty-lounge-khalifa-city-a?to=place.ChIJew69Lv1FXj4RjK59U-COz1k,Waze,2026-09-08,Abu Dhabi,Khalifa City address/hours,manual research,site terms apply,4,crawled last month,corroboration only
waze_mirdif_35,Waze Mirdif 35 listing,secondary_map,https://www.waze.com/live-map/directions/ae/dby/dby/bedashing-beauty-lounge-mirdif-35?to=place.ChIJJym1WZlgXz4RDU-v4mRhckE,Waze,2026-09-08,Dubai,Mirdif 35 address/hours,manual research,site terms apply,4,crawled last month,corroboration only
osm_nominatim_al_bateen,OpenStreetMap Nominatim search,open_geospatial,https://nominatim.openstreetmap.org/search?q=Bedashing%20Beauty%20Lounge%2C%20United%20Arab%20Emirates&format=jsonv2&limit=50,OpenStreetMap contributors,2026-09-08,Abu Dhabi,Al Bateen POI coordinate,manual API query,ODbL,3,live query,one matched POI and not an official roster,retain OSM node ID 13335655901 and require official match
2gis_branch_roster,2GIS Bedashing UAE branch listing,secondary_map,https://2gis.ae/dubai/branches/70000001029969284/firm/70000001032143625/55.26398%2C25.201945?m=54.027186%2C24.014313%2F9,2GIS,2026-09-08,UAE,24 lounge entries addresses/status labels and one separate head office,user-supplied visible listing,2GIS terms apply,3,current user validation,secondary map data and several address-only records,used to reconcile count; individual record URLs retained in snapshot v1
maplibre_gl_js,MapLibre GL JS documentation,official_technical,https://maplibre.org/maplibre-gl-js/docs/,MapLibre,2026-09-08,global,client-side map renderer and Vite worker integration,manual research,BSD-3-Clause project; review package terms,1,current docs,renderer does not supply basemap data,Phase 2 uses the documented Vite worker URL integration
osm_standard_tiles,OpenStreetMap standard tile policy,open_geospatial,https://operations.osmfoundation.org/policies/tiles/,OpenStreetMap Foundation,2026-09-08,global,optional interactive raster basemap,manual research,OSMF tile policy and ODbL attribution,2,current policy,best-effort service; no SLA; no offline/prefetch/bulk use,ordinary interactive viewport tiles only with visible attribution; replace for production traffic if needed
